Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
"China, Taiwan Province of China",2015,Synthetic cathinones,"3,240.80",Gram,,,
Singapore,2015,Synthetic cathinones,490.88,Gram,,,
Singapore,2014,Synthetic cathinones,0.1,Gram,,,
Romania,2015,Synthetic cathinones,439.57,Gram,,,
Czechia,2015,Synthetic cathinones,311,Gram,,,
Czechia,2014,Synthetic cathinones,21,Gram,,,
Estonia,2014,Synthetic cathinones,192.7,Gram,,,
Estonia,2013,Synthetic cathinones,8.95,Gram,,,
Estonia,2012,Synthetic cathinones,15,Gram,,,
Estonia,2012,Synthetic cathinones,14,Gram,,,
Latvia,2011,Synthetic cathinones,"2,937.50",Gram,,,
Poland,2015,Synthetic cathinones,4.92,Gram,,,
Poland,2012,Synthetic cathinones,5,Gram,,,
,,,,,,,
United States of America,2015,Synthetic cathinones,156.33,Kilogram,,,
United States of America,2014,Synthetic cathinones,66,Kilogram,,,
China,2014,Synthetic cathinones,226.08,Kilogram,,,
Russian Federation,2015,Synthetic cathinones,"3,070.09",Kilogram,,,
Russian Federation,2014,Synthetic cathinones,668.7,Kilogram,,,
Bulgaria,2011,Synthetic cathinones,2.78,Kilogram,,,
Bulgaria,2011,Synthetic cathinones,1.15,Kilogram,,,
Bulgaria,2011,Synthetic cathinones,2,Kilogram,,,
Czechia,2015,Synthetic cathinones,1,Kilogram,,,
Czechia,2013,Synthetic cathinones,1.03,Kilogram,,,
Estonia,2011,Synthetic cathinones,2.33,Kilogram,,,
Finland,2015,Synthetic cathinones,3.5,Kilogram,,,
Finland,2014,Synthetic cathinones,4,Kilogram,,,
Greece,2015,Synthetic cathinones,2.65,Kilogram,,,
Hungary,2015,Synthetic cathinones,18.6,Kilogram,,,
Ireland,2015,Synthetic cathinones,6.74,Kilogram,,,
Ireland,2014,Synthetic cathinones,20.7,Kilogram,,,
Ireland,2013,Synthetic cathinones,14.8,Kilogram,,,
Italy,2015,Synthetic cathinones,0.35,Kilogram,,,
Italy,2015,Synthetic cathinones,1.18,Kilogram,,,
Latvia,2013,Synthetic cathinones,2.06,Kilogram,,,
Lithuania,2014,Synthetic cathinones,1.08,Kilogram,,,
Lithuania,2013,Synthetic cathinones,2.17,Kilogram,,,
Malta,2011,Synthetic cathinones,0.5,Kilogram,,,
Norway,2015,Synthetic cathinones,0.88,Kilogram,,,
Norway,2013,Synthetic cathinones,0.37,Kilogram,,,
Norway,2013,Synthetic cathinones,0.22,Kilogram,,,
Norway,2012,Synthetic cathinones,0.66,Kilogram,,,
Norway,2012,Synthetic cathinones,0.04,Kilogram,,,
Poland,2015,Synthetic cathinones,24.7,Kilogram,,,
Poland,2015,Synthetic cathinones,10.5,Kilogram,,,
Poland,2014,Synthetic cathinones,9.96,Kilogram,,,
Slovakia,2013,Synthetic cathinones,6.62,Kilogram,,,
Slovakia,2013,Synthetic cathinones,6.26,Kilogram,,,
Slovakia,2012,Synthetic cathinones,5.29,Kilogram,,,
Spain,2015,Synthetic cathinones,136.5,Kilogram,,,
Australia,2015,Synthetic cathinones,85.94,Kilogram,,,
Australia,2013,Synthetic cathinones,40.42,Kilogram,,,
