Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2015,Synthetic cannabioids (Spice),897.81,Gram,,,
Canada,2015,Synthetic cannabioids (Spice),13,Gram,,,
Canada,2015,Synthetic cannabioids (Spice),3.7,Gram,,,
"China, Macao SAR",2014,Synthetic cannabioids (Spice),51.74,Gram,,,
"China, Taiwan Province of China",2015,Synthetic cannabioids (Spice),0.1,Gram,,,
"China, Taiwan Province of China",2014,Synthetic cannabioids (Spice),"2,928,934",Gram,,,
Singapore,2015,Synthetic cannabioids (Spice),145.89,Gram,,,
Singapore,2014,Synthetic cannabioids (Spice),114.09,Gram,,,
Romania,2015,Synthetic cannabioids (Spice),599.53,Gram,,,
Romania,2014,Synthetic cannabioids (Spice),972.99,Gram,,,
Cyprus,2014,Synthetic cannabioids (Spice),248,Gram,,,
Ireland,2015,Synthetic cannabioids (Spice),2.85,Gram,,,
Ireland,2012,Synthetic cannabioids (Spice),"31,830",Gram,,,
Latvia,2015,Synthetic cannabioids (Spice),90.78,Gram,,,
Latvia,2013,Synthetic cannabioids (Spice),138.81,Gram,,,
Latvia,2012,Synthetic cannabioids (Spice),"2,997.96",Gram,,,
Latvia,2012,Synthetic cannabioids (Spice),0.97,Gram,,,
Poland,2012,Synthetic cannabioids (Spice),"1,858",Gram,,,
,,,,,,,
Egypt,2014,Synthetic cannabioids (Spice),7.12,Kilogram,,,
United States of America,2015,Synthetic cannabioids (Spice),"16,970",Kilogram,,,
United States of America,2014,Synthetic cannabioids (Spice),"26,075",Kilogram,,,
United States of America,2013,Synthetic cannabioids (Spice),"23,025.71",Kilogram,,,
United States of America,2012,Synthetic cannabioids (Spice),"43,769.48",Kilogram,,,
United States of America,2011,Synthetic cannabioids (Spice),"3,390.53",Kilogram,,,
Republic of Korea,2015,Synthetic cannabioids (Spice),1,Kilogram,,,
Republic of Korea,2014,Synthetic cannabioids (Spice),7,Kilogram,,,
Singapore,2013,Synthetic cannabioids (Spice),9.13,Kilogram,,,
United Arab Emirates,2012,Synthetic cannabioids (Spice),10,Kilogram,,,
Belarus,2013,Synthetic cannabioids (Spice),1.11,Kilogram,,,
Belarus,2012,Synthetic cannabioids (Spice),0.4,Kilogram,,,
Belarus,2011,Synthetic cannabioids (Spice),4.2,Kilogram,,,
Russian Federation,2015,Synthetic cannabioids (Spice),"1,490.21",Kilogram,,,
Russian Federation,2012,Synthetic cannabioids (Spice),535.6,Kilogram,,,
Russian Federation,2011,Synthetic cannabioids (Spice),160.94,Kilogram,,,
Ukraine,2015,Synthetic cannabioids (Spice),13.26,Kilogram,,,
Ukraine,2014,Synthetic cannabioids (Spice),3.22,Kilogram,,,
Bulgaria,2013,Synthetic cannabioids (Spice),11.5,Kilogram,,,
Bulgaria,2013,Synthetic cannabioids (Spice),1,Kilogram,,,
Bulgaria,2011,Synthetic cannabioids (Spice),0.68,Kilogram,,,
Romania,2013,Synthetic cannabioids (Spice),0.53,Kilogram,,,
Romania,2012,Synthetic cannabioids (Spice),1.08,Kilogram,,,
Romania,2011,Synthetic cannabioids (Spice),2.86,Kilogram,,,
Turkey,2015,Synthetic cannabioids (Spice),544.47,Kilogram,,,
Turkey,2014,Synthetic cannabioids (Spice),733.86,Kilogram,,,
Turkey,2013,Synthetic cannabioids (Spice),780.41,Kilogram,,,
Turkey,2012,Synthetic cannabioids (Spice),433.51,Kilogram,,,
Turkey,2011,Synthetic cannabioids (Spice),42.94,Kilogram,,,
Belgium,2013,Synthetic cannabioids (Spice),20,Kilogram,,,
Cyprus,2014,Synthetic cannabioids (Spice),"1,338",Kilogram,,,
Cyprus,2012,Synthetic cannabioids (Spice),"2,156",Kilogram,,,
Greece,2015,Synthetic cannabioids (Spice),0.04,Kilogram,,,
Greece,2015,Synthetic cannabioids (Spice),0.01,Kilogram,,,
Hungary,2015,Synthetic cannabioids (Spice),21.18,Kilogram,,,
Hungary,2015,Synthetic cannabioids (Spice),5.55,Kilogram,,,
Hungary,2014,Synthetic cannabioids (Spice),100,Kilogram,,,
Hungary,2014,Synthetic cannabioids (Spice),5.52,Kilogram,,,
Hungary,2013,Synthetic cannabioids (Spice),44.5,Kilogram,,,
Hungary,2013,Synthetic cannabioids (Spice),15.53,Kilogram,,,
Hungary,2012,Synthetic cannabioids (Spice),3.02,Kilogram,,,
Hungary,2011,Synthetic cannabioids (Spice),23.35,Kilogram,,,
Ireland,2013,Synthetic cannabioids (Spice),1.14,Kilogram,,,
Italy,2015,Synthetic cannabioids (Spice),0.1,Kilogram,,,
Italy,2014,Synthetic cannabioids (Spice),0.23,Kilogram,,,
Latvia,2013,Synthetic cannabioids (Spice),7.94,Kilogram,,,
Norway,2011,Synthetic cannabioids (Spice),10.05,Kilogram,,,
Sweden,2013,Synthetic cannabioids (Spice),3.5,Kilogram,,,
Sweden,2012,Synthetic cannabioids (Spice),1.1,Kilogram,,,
Sweden,2011,Synthetic cannabioids (Spice),2.4,Kilogram,,,
Switzerland,2015,Synthetic cannabioids (Spice),0.2,Kilogram,,,
Australia,2015,Synthetic cannabioids (Spice),0.49,Kilogram,,,
Australia,2014,Synthetic cannabioids (Spice),77.18,Kilogram,,,
Australia,2013,Synthetic cannabioids (Spice),0.02,Kilogram,,,
Australia,2012,Synthetic cannabioids (Spice),2.67,Kilogram,,,
Australia,2011,Synthetic cannabioids (Spice),21.3,Kilogram,,,
Australia,2011,Synthetic cannabioids (Spice),"2,408.35",Kilogram,,,
