Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,,8.57,6.49,7.46,,"""Theft” means unlawfully taking or obtaining of property with the intent to permanently withhold it from a person or organization without consent and without the use of force, threat of force or violence, coercion or deception. “Theft” excludes ""Burglary"", ""Robbery"", and ""Theft of a Motorized Land Vehicle"", which are recorded separately.","When using the figures, any cross-national comparison should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, the different methods of offence counting and recording and differences in the share of criminal offences that are not reported to or detected by law enforcement authorities (i.e. the dark figure).",https://data.unodc.org/#state:4
Kenya,33.31,33.17,26.22,22.38,20.69,,,
Madagascar,0.22,0.27,0.27,0.83,0.92,,,
Mauritius*,729.88,,,,,,,
Mozambique,,,,,,,,
Uganda,63.26,58.33,49.62,45.15,,,,
United Republic of Tanzania,,1.1,1.76,2.01,0.33,,,
Zimbabwe,,,,,,,,
Cameroon*,84.09,72.73,112.68,110.96,69.78,,,
Sao Tome and Principe,11.45,,,,,,,
Algeria*,144.9,106.27,143.03,119.93,124.97,,,
Egypt,103.99,,,,,,,
Morocco,,292.02,322.32,,,,,
Sudan,,,,,,,,
Botswana,"1,210.27",,,"1,335.89",,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cabo Verde,792.47,752.09,748.34,777.57,799.42,,,
Guinea,,,,,,,,
Nigeria,,13.45,13.93,,,,,
Senegal,,,,,16.54,,,
Sierra Leone,,,,,,,,
Bahamas,536.94,533.05,,,,,,
Barbados,833.21,843.81,656.63,690.95,596.03,,,
Dominican Republic,,98.94,,235.28,,,,
Grenada,"1,241.08","1,456.26","1,209.61","1,267.52","1,948.05",,,
Jamaica,,115.38,75.36,,,,,
Puerto Rico,790.74,826.51,795.54,785.24,664.99,,,
Saint Kitts and Nevis,926.45,,,,,,,
Saint Vincent and the Grenadines,"2,114.49","1,923.46",,,,,,
Trinidad and Tobago,233.59,267.52,193.07,174.53,137.49,,,
Belize,283.12,244.13,271.07,234.86,,,,
Costa Rica,445.87,309.1,696.6,,,,,
El Salvador*,179.53,168.87,152.19,123.34,139.38,,,
Guatemala,53.97,59.29,,,,,,
Honduras,53.35,64.76,57.69,,36.11,,,
Mexico*,112.3,75.91,72.94,139.96,114.16,,,
Nicaragua,,,,,,,,
Panama*,500.68,542.34,540.95,549.5,480.44,,,
Bermuda,924.85,884.79,774.22,"1,019.62","1,028.97",,,
Canada,"1,494.47","1,476.76","1,381.08","1,368.90","1,402.65",,,
United States of America,"1,969.04","1,959.62","1,898.07","1,818.46","1,773.40",,,
Argentina,,,,667.9,626.3,,,
Bolivia (Plurinational State of),44.85,50.79,,,,,,
Brazil,618.69,704.08,873.76,,,,,
Chile,"1,209.97","1,098.98","1,071.26","1,082.10","1,025.57",,,
Colombia,217.91,269.75,289.72,286.41,300.53,,,
Ecuador*,77.18,103.6,121.91,152.8,,,,
Guyana,252.55,220.07,380.8,,674.11,,,
Paraguay,536.23,569.71,598.84,590.67,572.74,,,
Peru,209.62,252.37,272.56,289.28,301.12,,,
Suriname,,,,,,,,
Uruguay,"2,881.99","2,850.58","2,859.91","2,973.61","3,043.61",,,
Kazakhstan,734.65,"1,060.91","1,229.30","1,191.61","1,185.27",,,
Kyrgyzstan*,216.21,192.06,173.61,154.51,166.57,,,
Tajikistan,47.32,,,,,,,
Turkmenistan,,,,,,,,
"China, Hong Kong Special Administrative Region",497.23,474.02,441.07,,,,,
"China, Macao Special Administrative Region*",594.5,532.48,529.17,467.72,450.47,,,
Japan,457.96,429.52,391.92,356.2,,,,
Mongolia,191.22,223.12,275.74,289.5,309.85,,,
Republic of Korea,570.05,584.69,578.46,531.65,,,,
Brunei Darussalam,,,,,,,,
Indonesia,10.92,10.09,10.19,9.64,10.21,,,
Malaysia,,,,,,,,
Myanmar,3.46,4.41,4.79,5.55,5.43,,,
Philippines*,59.63,45.41,127.26,113.84,,,,
Singapore,332.35,329.5,298.32,288.16,265.98,,,
Thailand,67.31,67.27,64.72,58.91,57.93,,,
Bangladesh,,,,,,,,
Bhutan,67.46,66.42,76.46,69.54,,,,
India,27.32,26.7,29.12,,,,,
Iran (Islamic Republic of),,,,,,,,
Maldives,"1,398.04","1,905.65","1,903.39",,,,,
Nepal,,,,,,,,
Sri Lanka,58.26,57.31,55.79,,,,,
Armenia,141.75,134.94,155.71,153.68,177.78,,,
Azerbaijan,54.39,45.25,54.16,60.86,,,,
Bahrain,,,,,,,,
Cyprus,151.08,137.25,109.05,83.73,78.78,,,
Georgia,,,,236.89,,,,
Iraq (Central Iraq),36.53,38.68,36.67,34.8,,,,
Israel,936.21,,,,,,,
Jordan,207,193.14,,,,,,
Kuwait,,,,,,,,
Lebanon,713.79,699.11,615.66,506.25,427.81,,,
Oman,,,,,,,,
