Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Kenya,,,,,," “Persons Convicted” means persons found guilty by any legal body authorized to pronounce a conviction under national criminal law, whether or not the conviction was later upheld. The total number of persons convicted should also include persons convicted of serious special law offences but exclude persons convicted of minor road traffic offences, misdemeanours and other petty offences.","When using the figures, any cross-national comparison should be conducted with caution because of legal and procedural differences that exist across national criminal justice systems.",https://data.unodc.org/#state:7
Mauritius,"1,971.53","2,024.74","2,189.29","2,177.42","2,206.23",,,
Uganda,,,,,,,,
Zimbabwe,,,,,,,,
Cameroon,,,138.9,,,,,
Algeria*,26.5,25.02,21.93,22.29,38.2,,,
Egypt,,,,,,,,
South Africa,408.6,398.25,389,378.78,393.79,,,
Burkina Faso,19.61,,,,,,,
Barbados*,,,,335.94,311.38,,,
Dominican Republic,,,,,,,,
Grenada,"1,104.98","1,150.97",,,,,,
Jamaica,7.08,8.83,19.47,20.8,,,,
Saint Kitts and Nevis*,560.4,,,,,,,
Trinidad and Tobago,3.15,3.35,3.93,4.21,5.66,,,
Belize,,,,21.04,,,,
Costa Rica,153.77,173.72,186.49,186.42,,,,
El Salvador,67.84,79.48,87.46,94.98,98.13,,,
Guatemala,45.82,,,138.63,,,,
Honduras,144.53,,,,58.4,,,
Mexico*,88.96,84.69,93.96,31,39.41,,,
Nicaragua,,,,,,,,
Panama*,196.5,165.98,144.97,145.8,141.63,,,
Bermuda,,,"12,618.48",,,,,
Canada,809.59,789.32,759.35,635.7,,,,
United States of America,29.43,28.23,26.4,24.64,22.73,,,
Argentina,69.17,70.73,69.48,78.38,84.11,,,
Bolivia (Plurinational State of),,,,,,,,
Chile,143.49,140.91,138.55,139.77,145.36,,,
Colombia,155.67,118.91,114.7,111.46,131.45,,,
Ecuador,,,,,,,,
Guyana,206.12,196.99,183.96,184.45,175.86,,,
Paraguay,29.44,28.8,39.41,39.85,55.9,,,
Peru*,154.58,161.13,196.02,187.23,200.88,,,
Kazakhstan,158.38,132.98,144.31,137.93,165.42,,,
Kyrgyzstan,165.63,145.28,130.83,125.38,125.84,,,
Tajikistan,,,,,116.15,,,
Turkmenistan,,,,,,,,
China,77.94,86.57,84.97,86.44,,,,
"China, Hong Kong Special Administrative Region",276.43,258,239.77,,,,,
"China, Macao Special Administrative Region*",973.33,788.15,676.52,732.81,679.37,,,
Japan,51.5,50.02,46.07,45.93,,,,
Mongolia,297.56,296.4,282.07,281.04,260.08,,,
Republic of Korea,395,389.09,389.55,430.15,,,,
Malaysia,,,,,,,,
Philippines,,,,,,,,
Thailand,994.65,"1,046.46","1,115.11","1,091.60","1,096.77",,,
India,61.32,56.8,59.51,,,,,
Nepal,,,,,,,,
Armenia,132.75,125.14,,97.93,94.24,,,
Azerbaijan,146.17,138.2,136.67,138.55,,,,
Bahrain,,,,,,,,
Cyprus,"7,774.46","6,335.32","5,327.28","5,955.66","4,642.15",,,
Georgia,432.58,,,415.79,,,,
Iraq (Central Iraq),47.71,39.18,43.7,,,,,
Israel,,,,,,,,
Saudi Arabia,,,,,300.38,,,
State of Palestine,293.44,,,,,,,
Syrian Arab Republic,,,,,,,,
