Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,106.56,62.91,74.37,69.59,77.73," “Persons Held in Prisons, Penal Institutions or Correctional Institutions” means persons held in Prisons, Penal Institutions or Correctional Institutions on a specified day and should exclude non-criminal prisoners held for administrative purposes, for example, persons held pending investigation into their immigration status or foreign citizens without a legal right to stay."," Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.",https://data.unodc.org/#state:6
Comoros,,,27.4,,18.39,,,
Djibouti,89.09,,63.62,,67.58,,,
Ethiopia,,,,,,,,
Kenya,123.29,104.65,122.29,119.33,117.75,,,
Madagascar,85.7,85.9,86.39,86.35,84.98,,,
Malawi,,77.93,,72.81,70.46,,,
Mauritius,215.95,219.34,210.75,176.03,,,,
Mayotte,98.17,,82.69,,73.75,,,
Mozambique,65.17,,59.18,56.69,57.1,,,
Reunion,128.79,,132.83,,121.46,,,
Rwanda,,514.16,,,467.53,,,
Seychelles,,664.38,,766.68,,,,
South Sudan,,,,,52.71,,,
Uganda,93.46,99.47,108.19,112.03,,,,
United Republic of Tanzania,81.39,68.53,72.79,65.99,64.34,,,
Zambia,,114.97,111.64,108.37,114.48,,,
Zimbabwe,,116.03,113.45,114.68,120.86,,,
Angola,90.68,,92.26,94.22,96.58,,,
Cameroon,108.02,105.69,113.97,113.77,114.38,,,
Central African Republic,18.65,,,,15.59,,,
Chad,39.28,37.99,,,,,,
Congo,33.51,,34.13,27.53,,,,
Democratic Republic of the Congo,,,,,26.6,,,
Equatorial Guinea,,,,,59.17,,,
Gabon,,,,,195.5,,,
Sao Tome and Principe,,121.58,,,93.51,,,
Algeria,136.18,133.82,157.7,156.67,156.68,,,
Egypt,78.77,,,,,,,
Libya,,50.71,85.03,98.85,,,,
Morocco,,214.27,215.23,,221.07,,,
Sudan,54.17,,49.59,,,,,
Tunisia,195.19,,227.15,,,,,
Botswana,225.49,198.84,175.79,186.09,175.03,,,
Lesotho,,124.63,,98.28,,,,
Namibia,,,170.89,,144.78,,,
South Africa,304.89,299.34,292.74,286.55,,,,
Swaziland,310.44,276.94,262.27,284.92,280.5,,,
Benin,,,,66.68,,,,
Burkina Faso,31.28,30.35,,38.81,41.67,,,
Cabo Verde,,269.13,282.7,,,,,
Cote d'Ivoire,,33.58,,,53.51,,,
Gambia,57.17,,53.57,58.14,,,,
Ghana,,52.8,53.59,54.5,,,,
Guinea,,22.36,,25.33,,,,
Guinea-Bissau,,,5.24,,,,,
Liberia,39.24,,42.55,,46.72,,,
Mali,37.2,,29.91,30.49,,,,
Mauritania,,42.41,,44.54,,,,
Niger,,39.12,,,42.84,,,
Nigeria,29.71,30.65,31.93,31.9,,,,
Senegal,,61.16,,58.82,,,,
Sierra Leone,,45.7,53.1,57.05,54.05,,,
Togo,,62.47,,63.15,60.54,,,
Anguilla,,537.75,,414.94,314.77,,,
Antigua and Barbuda,,405.3,412.29,364.14,,,,
Aruba,241.33,,233.19,164.34,,,,
Bahamas,370.86,384.81,,364.44,,,,
Barbados,377.76,371.12,321.41,304.89,335.66,,,
British Virgin Islands,,484.02,,402.23,,,,
Cayman Islands,,321.62,,314.34,,,,
Cuba,,505.5,,,,,,
Curacao,,288.3,,223.42,,,,
Dominica,,383.62,369.42,,301.32,,,
Dominican Republic,218.16,236.77,240.67,242.2,,,,
Grenada,434.95,463.61,453.25,482.37,469.93,,,
Guadeloupe,170.93,,187.9,,193.62,,,
Haiti,,84.77,95.25,98.95,103.13,,,
Jamaica,161.93,157.95,148.28,144.94,137.97,,,
Martinique,224.22,,232.02,,237.12,,,
Puerto Rico,309.83,331.31,331.82,332.18,308.53,,,
Saint Kitts and Nevis,652.85,682.2,607.72,,,,,
Saint Lucia,,314,,345.23,,,,
Saint Vincent and the Grenadines,"1,159.67",420.73,,376.74,,,,
Sint Maarten (Dutch part),,512.32,,427.1,,,,
Trinidad and Tobago,321.17,276.54,268.13,249.47,547.54,,,
United States Virgin Islands,,543.45,543.49,,,,,
Belize,695.03,756.15,764.69,740.96,,,,
Costa Rica,264.19,288.07,289.96,291.2,291.17,,,
El Salvador,418.93,467.42,440.88,463.91,532.84,,,
Guatemala,,97.69,104.11,115.04,,,,
Honduras,157.53,156.34,167.97,186.92,200.1,,,
Mexico,177.59,169.8,176.48,181.86,174.34,,,
Nicaragua,,166.75,,175.74,,,,
Panama,358.69,386.8,380.14,384.64,453.31,,,
Bermuda,,398.87,,368.73,,,,
Canada,116.61,116.78,106.56,113.02,,,,
Greenland,,301.72,,233.05,224.26,,,
United States of America,721.05,708.83,703.61,696.54,675.57,,,
Argentina,145.93,147.91,151.13,160.68,167.43,,,
Bolivia (Plurinational State of),111.08,139.39,142.02,134.64,,,,
Brazil,266.61,281.78,296.78,294.9,299.36,,,
