Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi,4.47,4.17,6.07,6.37,,"“Professional Judges or Magistrates” means both full-time and part-time officials as at 31 December authorized to hear civil, criminal and other cases, including in appeal courts, and to make dispositions in a court of law. Please also include authorized associate judges and magistrates. ","When using the figures, any cross-national comparison should be conducted with caution because of different definitions and organisational arrangements that exist across national criminal justice systems.",https://data.unodc.org/#state:8
Kenya*,1.03,1.34,1.21,1.39,,,,
Madagascar,,,,,3.8,,,
Mauritius,5.51,6.04,6.01,5.44,5.5,,,
Cameroon*,4.67,,4.7,,,,,
Algeria,11.64,12.15,13.05,13.83,14.65,,,
Egypt,,,,,,,,
Morocco,,,,,,,,
South Africa,4.22,4.15,4.31,3.7,3.68,,,
Burkina Faso,1.92,,,,,,,
Cabo Verde,10.91,12.18,11.83,11.09,12.3,,,
Nigeria,,,0.04,,,,,
Togo,,3.38,,,,,,
Bahamas,,11.82,,,,,,
Barbados*,,8.52,8.5,8.47,8.44,,,
Dominican Republic,6.72,,,,,,,
Jamaica,3.27,3.47,3.46,3.49,3.47,,,
Saint Kitts and Nevis,11.32,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Trinidad and Tobago,7.27,7.3,7.12,6.72,6.69,,,
Belize,,,,2.84,,,,
Costa Rica,24.54,24.67,27.28,27.07,,,,
El Salvador*,11.23,11.2,11.17,10.95,11.16,,,
Guatemala,6.37,,,4.52,,,,
Honduras,10.89,,,,10.49,,,
Mexico*,4.03,4.23,4.16,4.35,4.38,,,
Nicaragua,,,,,,,,
Panama,8.01,8.33,8.3,8.58,9.37,,,
Bermuda,,,19.12,,,,,
Canada,,,,,,,,
United States of America*,0.75,0.75,0.74,0.75,0.75,,,
Argentina,,4.8,4.75,4.71,4.66,,,
Bolivia (Plurinational State of),,,,,,,,
Chile,10.57,10.48,10.45,10.4,10.39,,,
Colombia,9.97,10.25,10.18,10.09,11.24,,,
Ecuador,,,,,,,,
Guyana,4.37,4.88,4.86,4.32,5.34,,,
Paraguay,9.77,11.69,11.58,11.74,8.34,,,
Peru,2.52,2.56,2.59,2.89,3,,,
Kazakhstan,12.93,12.97,12.75,15,14.93,,,
Kyrgyzstan,6.97,6.85,5.73,,5.64,,,
Tajikistan,,,,,4.44,,,
China,,14.47,14.6,14.73,,,,
"China, Hong Kong Special Administrative Region",2.17,2.25,2.25,,,,,
"China, Macao Special Administrative Region*",7.13,7.17,8.1,7.79,7.66,,,
Japan,2.87,2.88,2.9,2.96,,,,
Mongolia,16.02,17.73,15.25,16.32,17.44,,,
Republic of Korea,5.34,5.52,5.58,5.49,,,,
Malaysia,,,,,,,,
Philippines,1.8,1.71,1.75,1.68,1.8,,,
Singapore*,1.91,2.13,2.13,1.65,1.82,,,
Thailand,6.41,6.38,6.44,6.38,6.83,,,
Maldives,,,,,,,,
Nepal,,,,,,,,
Armenia,7.41,7.35,,7.52,7.46,,,
Azerbaijan,5.13,4.98,5.55,5.39,,,,
Bahrain,,,,,,,,
Cyprus,8.96,9.03,9.02,8.75,9.7,,,
Georgia,5.84,,,6.42,,,,
Israel,8.37,,,,,,,
State of Palestine,,,,,,,,
Turkey,13.45,12.52,13.96,13.51,,,,
Belarus,,,,13.04,,,,
Bulgaria,56.75,56.97,57.44,57.67,58.28,,,
Czechia,28.93,28.97,28.96,28.72,28.63,,,
Hungary,28.92,27.95,28.52,28.71,28.82,,,
Poland,25.71,25.74,25.65,25.79,25.79,,,
Republic of Moldova,10.81,,,9.45,,,,
Romania,32.7,33.42,34.97,35.08,35.88,,,
Russian Federation,19.68,20.49,20.97,23.43,23.5,,,
Slovakia,25.19,24.82,25.56,25.19,24.64,,,
Ukraine,,,,,,,,
Denmark,14.65,14.84,14.03,13.76,13.53,,,
Estonia,16.64,17.22,17.12,17.47,17.83,,,
Faeroe Islands,,,,12.44,,,,
Finland,17.96,17.96,18.08,18.03,18.01,,,
Iceland,,,13.21,,,,,
Ireland,2.99,3.08,3.17,3.44,3.43,,,
Latvia,20.4,21.35,21.37,21.62,22.58,,,
Lithuania,25.21,25.49,26.01,25.88,26.47,,,
Norway*,15.14,14.95,14.34,14.34,14.16,,,
Sweden,20.6,21.24,21.61,22.22,22.34,,,
United Kingdom (England and Wales),54.72,51.21,47.64,43.33,,,,
United Kingdom (Northern Ireland)*,,,7.21,7.61,,,,
United Kingdom (Scotland),4.94,,4.86,4.82,,,,
Albania,10.74,10.38,12.49,12.49,12.32,,,
Andorra,31.58,32.78,34.25,37.1,36.89,,,
Bosnia and Herzegovina*,27.92,28.34,28.3,27.85,28.34,,,
Croatia,44.72,45.07,44.76,44.71,44.31,,,
Greece,32.7,34.26,35.32,36.26,37.62,,,
Holy See,"2,002.50","1,877.35","2,127.66","1,877.35","1,875.00",,,
Italy,14.57,18.85,18.83,18.64,17.81,,,
Kosovo under UNSCR 1244,13.77,18.99,17,17.26,,,,
Malta,9.66,10.11,10.08,9.82,10.03,,,
Montenegro,40.61,42.16,41.14,40.62,52.73,,,
Portugal,16.55,17.15,17.36,17.15,17.27,,,
Serbia,27.21,32.65,32.1,32.43,31.24,,,
Slovenia,49.34,47.65,46.98,45.5,44.06,,,
Spain,10.47,10.8,11.23,11.57,11.63,,,
The former Yugoslav Republic of Macedonia,,,,,,,,
Austria,27.98,28.03,28.15,28.9,,,,
Belgium,22.19,22.13,21.74,22.14,21.73,,,
France,9.27,9.22,9.1,8.84,8.88,,,
Germany,,25.33,,25.17,,,,
Liechtenstein,166.95,184.83,183.59,182.37,159.87,,,
Monaco,56.47,53.47,55.96,,58.31,,,
Netherlands,14.63,14.17,14.15,13.99,13.93,,,
Switzerland,,15.84,,,,,,
Australia,,4.72,4.62,4.55,4.47,,,
New Zealand,6.27,,,,,,,
