Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Burundi*,,,133.84,149.52,,"""Police Personnel"" means personnel in public agencies as at 31 December whose principal functions are the prevention, detection and investigation of crime and the apprehension of alleged offenders. Data concerning support staff (secretaries, clerks, etc.) should be excluded.","When using the figures, any cross-national comparison should be conducted with caution because of different definitions and organisational arrangements that exist across national criminal justice systems.",https://data.unodc.org/#state:9
Kenya,95.89,100.1,96.46,87.42,84.52,,,
Madagascar,,,,,34.13,,,
Mauritius,854.61,,,,,,,
Rwanda,4.14,4.61,4.78,,,,,
Uganda,111.41,123.35,113.63,119.26,,,,
United Republic of Tanzania,84.15,85.43,82.48,83.42,85.07,,,
Zimbabwe,,,,,,,,
Cameroon,,,17.28,,,,,
Algeria,422.61,456.78,438.59,420.66,436.58,,,
Morocco,,169.7,,,,,,
Botswana,420.63,,,,,,,
Lesotho,,,,,,,,
Swaziland,,,,,,,,
Cabo Verde,340.09,346.2,361.16,343.25,350.62,,,
Cote d'Ivoire,,,,,,,,
Guinea,,,,,,,,
Nigeria,,219.59,208.31,,,,,
Sierra Leone,,,,,,,,
Bahamas,724.82,742.51,,,,,,
Barbados,511.76,505.36,496.63,503.92,494.34,,,
Dominican Republic,,333.26,,338.05,,,,
Grenada,935.57,919.64,909.33,889.52,,,,
Jamaica,394.21,,,423.81,422.97,,,
Saint Kitts and Nevis,760.41,,,,,,,
Saint Vincent and the Grenadines,802.08,771.95,,,,,,
Trinidad and Tobago,469.74,461.02,441.17,477.08,485.63,,,
Belize,376.98,368.57,434.06,490.75,,,,
Costa Rica,270.62,278.14,280.72,,279.85,,,
El Salvador,352.66,356.41,365.74,376.49,376.93,,,
Guatemala,160.13,159.88,174.78,192.57,,,,
Honduras,173.16,157.71,147.38,,147.12,,,
Mexico*,358.27,351.44,367,303.02,300.96,,,
Nicaragua,,,,,,,,
Panama,341.09,521.13,445.44,,,,,
Bermuda,682.63,682.19,686.6,700.59,664.47,,,
Canada,201.23,199.34,196.56,193.34,191.37,,,
