Country,Year,Total,Definiton,Interpretation,Link
Bahamas,2015,na,n/a,n/a,https://data.unodc.org/#state:42
Barbados,2015,0,,,
Costa Rica,2015,17,,,
Cuba,2015,na,,,
Dominican Republic,2015,23,,,
El Salvador,2015,na,,,
Guatemala,2015,71,,,
Honduras,2015,25,,,
Jamaica,2015,na,,,
Nicaragua,2015,na,,,
Panama,2015,5,,,
Saint Vincent and the Grenadines,2015,na,,,
Trinidad and Tobago,2015,3,,,
Australia,2015,na,,,
Fiji,2015,na,,,
Indonesia,2015,na,,,
Japan,2015,26,,,
Malaysia,2015,na,,,
Mongolia,2015,243,,,
New Zealand,2015,na,,,
Philippines,2015,569,,,
Singapore,2015,na,,,
Taiwan province of China,2015,na,,,
Thailand,2015,na,,,
Viet Nam,2015,na,,,
Armenia,2015,1,,,
Azerbaijan,2015,17,,,
Belarus,2015,21,,,
Georgia,2015,na,,,
Tajikistan,2015,10,,,
Ukraine,2015,na,,,
Uzbekistan,2015,261,,,
Algeria,2015,na,,,
Bahrain,2015,2,,,
Israel,2015,na,,,
Lebanon,2015,na,,,
Oman,2015,11,,,
Qatar,2015,na,,,
Syrian Arab Republic,2015,na,,,
United Arab Emirates,2015,na,,,
Yemen,2015,0,,,
Canada,2015,68,,,
Mexico,2015,80,,,
United States of America,2015,na,,,
Argentina,2015,na,,,
Bolivia (Plurinational State of),2015,na,,,
Chile,2015,na,,,
Colombia,2015,9,,,
Ecuador,2015,na,,,
Guyana,2015,na,,,
Paraguay,2015,22,,,
Peru,2015,na,,,
Suriname,2015,na,,,
Uruguay,2015,na,,,
Venezuela (Bolivarian Republic of),2015,2,,,
Bangladesh,2015,na,,,
Sri Lanka,2015,na,,,
Botswana,2015,na,,,
Cabo Verde,2015,na,,,
Cameroon,2015,na,,,
Comoros,2015,na,,,
Guinea,2015,na,,,
Guinea-Bissau,2015,na,,,
Kenya,2015,na,,,
Lesotho,2015,10,,,
Mauritania,2015,na,,,
Mauritius,2015,na,,,
Mozambique,2015,na,,,
Namibia,2015,na,,,
Nigeria,2015,na,,,
Rwanda,2015,na,,,
Senegal,2015,16,,,
Seychelles,2015,na,,,
South Africa,2015,na,,,
Swaziland,2015,0,,,
Togo,2015,na,,,
Uganda,2015,na,,,
United Republic of Tanzania,2015,na,,,
Zimbabwe,2015,na,,,
Albania,2015,na,,,
Austria,2015,na,,,
Belgium,2015,na,,,
Brunei Darussalam,2015,na,,,
Bulgaria,2015,na,,,
Croatia,2015,na,,,
Cyprus,2015,na,,,
Czechia,2015,19,,,
Denmark,2015,53,,,
Estonia,2015,12,,,
Finland,2015,21,,,
Germany,2015,na,,,
Greece,2015,na,,,
Hungary,2015,na,,,
Ireland,2015,na,,,
Italy,2015,na,,,
Latvia,2015,13,,,
Lithuania,2015,na,,,
Malta,2015,0,,,
Marshall Islands,2015,na,,,
Montenegro,2015,0,,,
Netherlands,2015,na,,,
Norway,2015,na,,,
Poland,2015,na,,,
Portugal,2015,na,,,
Republic of Moldova,2015,56,,,
Romania,2015,297,,,
Russian Federation,2015,na,,,
Serbia,2015,7,,,
Slovakia,2015,20,,,
Slovenia,2015,23,,,
Solomon Islands,2015,na,,,
Spain,2015,na,,,
Sweden,2015,na,,,
Switzerland,2015,na,,,
The former Yugoslav Republic of Macedonia,2015,na,,,
Turkey,2015,364,,,
United Kingdom of Great Britain and Northern Ireland,2015,na,,,
Bahamas,2014,3,,,
Barbados,2014,0,,,
Costa Rica,2014,7,,,
Cuba,2014,na,,,
Dominican Republic,2014,74,,,
El Salvador,2014,na,,,
Guatemala,2014,65,,,
Honduras,2014,52,,,
Jamaica,2014,na,,,
Nicaragua,2014,23,,,
Panama,2014,5,,,
Saint Vincent and the Grenadines,2014,na,,,
Trinidad and Tobago,2014,0,,,
Australia,2014,na,,,
Fiji,2014,2,,,
Indonesia,2014,150,,,
Japan,2014,27,,,
Malaysia,2014,11,,,
Mongolia,2014,367,,,
New Zealand,2014,na,,,
Philippines,2014,700,,,
Singapore,2014,na,,,
Taiwan province of China,2014,155,,,
Thailand,2014,na,,,
Viet Nam,2014,na,,,
Armenia,2014,9,,,
Azerbaijan,2014,26,,,
Belarus,2014,27,,,
Georgia,2014,na,,,
Tajikistan,2014,23,,,
Ukraine,2014,na,,,
Uzbekistan,2014,719,,,
Algeria,2014,1,,,
Bahrain,2014,10,,,
Israel,2014,6,,,
Lebanon,2014,15,,,
Oman,2014,10,,,
Qatar,2014,na,,,
Syrian Arab Republic,2014,na,,,
United Arab Emirates,2014,na,,,
Yemen,2014,0,,,
Canada,2014,117,,,
Mexico,2014,170,,,
United States of America,2014,335,,,
Argentina,2014,128,,,
Bolivia (Plurinational State of),2014,402,,,
Chile,2014,3,,,
Colombia,2014,99,,,
Ecuador,2014,24,,,
Guyana,2014,na,,,
Paraguay,2014,43,,,
Peru,2014,108,,,
Suriname,2014,na,,,
Uruguay,2014,23,,,
Venezuela (Bolivarian Republic of),2014,5,,,
Bangladesh,2014,272,,,
Sri Lanka,2014,na,,,
Botswana,2014,na,,,
Cabo Verde,2014,0,,,
Cameroon,2014,na,,,
Comoros,2014,na,,,
Guinea,2014,44,,,
Guinea-Bissau,2014,na,,,
Kenya,2014,na,,,
Lesotho,2014,na,,,
Mauritania,2014,na,,,
Mauritius,2014,8,,,
Mozambique,2014,na,,,
Namibia,2014,na,,,
Nigeria,2014,56,,,
Rwanda,2014,na,,,
Senegal,2014,na,,,
Seychelles,2014,na,,,
South Africa,2014,11,,,
Swaziland,2014,0,,,
Togo,2014,80,,,
Uganda,2014,na,,,
United Republic of Tanzania,2014,na,,,
Zimbabwe,2014,na,,,
Albania,2014,na,,,
Austria,2014,na,,,
Belgium,2014,353,,,
Brunei Darussalam,2014,na,,,
Bulgaria,2014,na,,,
Croatia,2014,na,,,
Cyprus,2014,na,,,
Czechia,2014,25,,,
Denmark,2014,7,,,
Estonia,2014,7,,,
Finland,2014,24,,,
Germany,2014,125,,,
Greece,2014,na,,,
Hungary,2014,na,,,
Ireland,2014,14,,,
Italy,2014,na,,,
Latvia,2014,11,,,
Lithuania,2014,na,,,
Malta,2014,0,,,
Marshall Islands,2014,na,,,
Montenegro,2014,2,,,
Netherlands,2014,278,,,
Norway,2014,na,,,
Poland,2014,28,,,
Portugal,2014,na,,,
Republic of Moldova,2014,46,,,
Romania,2014,616,,,
Russian Federation,2014,na,,,
Serbia,2014,22,,,
Slovakia,2014,na,,,
Slovenia,2014,9,,,
Solomon Islands,2014,0,,,
Spain,2014,760,,,
Sweden,2014,3,,,
Switzerland,2014,na,,,
The former Yugoslav Republic of Macedonia,2014,16,,,
Turkey,2014,804,,,
United Kingdom of Great Britain and Northern Ireland,2014,98,,,
Bahamas,2013,na,,,
Barbados,2013,3,,,
Costa Rica,2013,na,,,
Cuba,2013,na,,,
Dominican Republic,2013,62,,,
El Salvador,2013,26,,,
Guatemala,2013,62,,,
Honduras,2013,1,,,
Jamaica,2013,5,,,
Nicaragua,2013,na,,,
Panama,2013,22,,,
Saint Vincent and the Grenadines,2013,na,,,
Trinidad and Tobago,2013,10,,,
Australia,2013,8,,,
Fiji,2013,na,,,
Indonesia,2013,199,,,
Japan,2013,31,,,
Malaysia,2013,13,,,
Mongolia,2013,269,,,
New Zealand,2013,0,,,
Philippines,2013,688,,,
Singapore,2013,na,,,
Taiwan province of China,2013,483,,,
Thailand,2013,na,,,
Viet Nam,2013,na,,,
Armenia,2013,12,,,
Azerbaijan,2013,17,,,
Belarus,2013,45,,,
Georgia,2013,na,,,
Tajikistan,2013,31,,,
Ukraine,2013,na,,,
Uzbekistan,2013,748,,,
Algeria,2013,na,,,
Bahrain,2013,8,,,
Israel,2013,8,,,
Lebanon,2013,19,,,
Oman,2013,13,,,
Qatar,2013,na,,,
Syrian Arab Republic,2013,na,,,
United Arab Emirates,2013,50,,,
Yemen,2013,0,,,
Canada,2013,71,,,
Mexico,2013,77,,,
United States of America,2013,253,,,
Argentina,2013,238,,,
Bolivia (Plurinational State of),2013,181,,,
Chile,2013,14,,,
Colombia,2013,72,,,
Ecuador,2013,21,,,
Guyana,2013,na,,,
Paraguay,2013,37,,,
Peru,2013,na,,,
Suriname,2013,na,,,
Uruguay,2013,0,,,
