Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,20.2,,,
Austria,2014,9.3,,,
Belarus,2011/2014***,-,,,
Belgium,2015,2.4,,,
Bosnia and Herzegovina,2010-2015,0.3,,,
Bulgaria,2015,2.3,,,
Croatia,2015,2,,,
Cyprus,2013,0.8,,,
Czechia,2015,0.6,,,
Denmark,2013,1.6,,,
Estonia,2015,,,,
Finland,2014,6.7,,,
France,2014,3,,,
Germany,2014,,,,
Gibraltar,,,,,
Greece,2014,0.5,,,
Macedonia (TFYR),,,,,
Hungary,2015,3.6,,,
Iceland,,,,,
Ireland,2014,11.2,,,
Italy,2015,0.5,,,
Latvia,2015,1.6,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Luxembourg,2015,,,,
Malta,2014,0.1,,,
Moldova (Republic of),2011/ 2013***,0.2,,,
Monaco,2013,5.4,,,
Montenegro,2015,3.6,,,
Netherlands,2014,5.6,,,
Norway,2014,8,,,
Poland,2014,4,,,
Portugal,2015,0.9,,,
Romania,2015,2.8,,,
Russian Federation,2014,,,,
Serbia,2015,,,,
Slovakia,2015,2.6,,,
Slovenia,2014,12.7,,,
Spain,2014,2.5,,,
Sweden,2014,22.7,,,
Switzerland,,,,,
Turkey,2015,0.6,,,
Ukraine,2015,,,,
United Kingdom,2014,2.3,,,
