Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Mauritius,2014,Sedatives and tranquillizers,"2,899",Tablet,,,
Algeria,2012,Sedatives and tranquillizers,"937,660",Tablet,,,
Gambia,2013,Sedatives and tranquillizers,18,Tablet,,,
Georgia,2013,Sedatives and tranquillizers,575,Tablet,,,
Malaysia,2014,Sedatives and tranquillizers,"467,133",Tablet,,,
Saudi Arabia,2012,Sedatives and tranquillizers,"1,947,861",Tablet,,,
Bosnia and Herzegovina,2011,Sedatives and tranquillizers,47,Tablet,,,
Bulgaria,2012,Sedatives and tranquillizers,"1,400",Tablet,,,
Turkey,2012,Sedatives and tranquillizers,"51,133",Tablet,,,
Greece,2013,Sedatives and tranquillizers,"131,168",Tablet,,,
Greece,2012,Sedatives and tranquillizers,"123,337",Tablet,,,
Lithuania,2013,Sedatives and tranquillizers,337,Tablet,,,
Lithuania,2012,Sedatives and tranquillizers,324,Tablet,,,
