Country,Year,Number,Definition,Interpretation,Link
Brazil,2015,"70,419",,"* Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs.",https://data.unodc.org/#state:44
Canada,2012-13,"68,083",,,
Chile,2015,"12,089",,,
Colombia,2015,"4,604",,,
Costa Rica,2015,"7,912",,,
Dominican Republic,2014,969,,,
Ecuador,2015,"19,282",,,
El Salvador,2015,201,,,
Honduras,2014,"9,150",,,
Jamaica,2012,94,,,
Mexico,2015,"29,688",,,
Nicaragua,2014,593,,,
Peru,2012/2014***,"1,229",,,
Puerto Rico,2014,"2,144",,,
Trinidad and Tobago,2014,162,,,
Uruguay,2015,981,,,
United States of America,2014,"1,286,664",,,
Venezuela,2015,"3,148",,,
