Country,Year,Number,Definition,Interpretation,Link
Albania,,,," * Definitions of treatment interventions, recording practices (including counting rules) and methods for determining the primary drug of abuse differ from country to country; percentages may fail to add up to 100 per cent owing to incomplete reporting, gaps in identifying primary drug of abuse and treatment for multiple drugs. ",
Andorra,2015,113,,,
Austria,2014,"4,061",,,
Belarus,2011/2014***,"3,122",,,
Belgium,2015,"5,509",,,
Bosnia and Herzegovina,2010-2015,455,,,
Bulgaria,2015,"6,900",,,
Croatia,2015,"7,620",,,
Cyprus,2013,"1,092",,,
Czechia,2015,"10,108",,,
Denmark,2013,"4,653",,,
Estonia,2015,282,,,
Finland,2014,644,,,
France,2014,"116,263",,,
Germany,2014,"81,296",,,
Gibraltar,,,,,
Greece,2014,"13,215",,,
Macedonia (TFYR),,,,,
Hungary,2015,"4,308",,,
Iceland,,,,,
Ireland,2014,"8,753",,,
Italy,2015,"149,676",,,
Latvia,2015,751,,,
Liechtenstein,2015,26,,,
Lithuania,2015,"5,640",,,
Luxembourg,2015,"1,200",,,
Malta,2014,"1,770",,,
Moldova (Republic of),2011/ 2013***,"1,053",,,
Monaco,2013,56,,,
Montenegro,2015,670,,,
Netherlands,2014,"10,631",,,
Norway,2014,"17,289",,,
Poland,2014,"7,186",,,
Portugal,2015,"3,389",,,
Romania,2015,"3,240",,,
Russian Federation,2014,"547,215",,,
Serbia,2015,"4,336",,,
Slovakia,2015,"2,720",,,
Slovenia,2014,"3,122",,,
Spain,2014,"48,926",,,
Sweden,2014,"23,139",,,
Switzerland,,,,,
Turkey,2015,"10,884",,,
Ukraine,2015,"51,939",,,
United Kingdom,2014,"100,456",,,
