Country,Year,Number,Definition,Interpretation,Link
Costa Rica,2015,0.2,Opioids include prescription opioids and opiates (opiates include heroin and opium).,n/a,https://data.unodc.org/#state:24
Costa Rica,2015,0.2,,,
United States of America,2015,0.5,,,
Chile,2015,0.7,,,
Chile,2015,0.7,,,
Georgia,2015,,,,
"China, Hong Kong SAR",2015,0.01,,,
"China, Hong Kong SAR",2015,0.01,,,
Indonesia,2015,0.2,,,
Indonesia,2015,0,,,
Indonesia,2015,,,,
Indonesia,2015,,,,
Indonesia,2015,0.2,,,
Moldova (Republic of),2015,,,,
Ukraine,2015,11,,,
Albania,2015,,,,
Bulgaria,2015,,,,
Croatia,2015,,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Romania,2015,,,,
Romania,2015,,,,
Austria,2015,,,,
Belgium,2015,,,,
Cyprus,2015,,,,
Czechia,2015,,,,
Denmark,2015,,,,
Estonia,2015,,,,
Faeroe Islands,2015,,,,
Finland,2015,,,,
Finland,2015,,,,
France,2015,,,,
Germany,2015,0,,,
Greece,2015,,,,
Greece,2015,,,,
Hungary,2015,,,,
Iceland,2015,,,,
Ireland,2015,,,,
Italy,2015,1,,,
Italy,2015,1,,,
Latvia,2015,,,,
Liechtenstein,2015,,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Malta,2015,,,,
Monaco,2015,,,,
Netherlands,2015,,,,
Norway,2015,,,,
Poland,2015,,,,
Portugal,2015,,,,
Slovakia,2015,,,,
Slovenia,2015,,,,
Sweden,2015,,,,
Sweden,2015,,,,
Mexico,2014,0.5,,,
United States of America,2014,0.5,,,
Argentina,2014,,,,
Paraguay,2014,0,,,
Uruguay,2014,,,,
Uruguay,2014,,,,
Uruguay,2014,,,,
Uruguay,2014,,,,
Venezuela (Bolivarian Republic of),2014,,,,
"China, Hong Kong SAR",2014,0.01,,,
"China, Hong Kong SAR",2014,0.01,,,
"China, Hong Kong SAR",2014,0,,,
Israel,2014,3.8,,,
Israel,2014,4.1,,,
Israel,2014,3.9,,,
England,2014,0.5,,,
England,2014,0.3,,,
England,2014,0.4,,,
France,2014,0.4,,,
Italy,2014,1.5,,,
Italy,2014,0.8,,,
Spain,2014,0.5,,,
Spain,2014,0.5,,,
Sweden,2014,,,,
Sweden,2014,,,,
Switzerland,2014,,,,
Switzerland,2014,,,,
Egypt,2013,3,,,
Egypt,2013,2,,,
Panama,2013,0,,,
United States of America,2013,0.6,,,
Chile,2013,0.8,,,
"China, Hong Kong SAR",2013,,,,
"China, Hong Kong SAR",2013,,,,
Russian Federation,2013,,,,
Bulgaria,2013,2.2,,,
Bulgaria,2013,2.8,,,
Bulgaria,2013,2.2,,,
England,2013,0.5,,,
England,2013,0.6,,,
England,2013,0.9,,,
Estonia,2013,,,,
Estonia,2013,,,,
Finland,2013,,,,
Finland,2013,,,,
Finland,2013,,,,
Italy,2013,0.7,,,
Italy,2013,0.3,,,
Poland,2013,1,,,
Poland,2013,0.7,,,
United Kingdom (Scotland),2013,1,,,
Costa Rica,2012,0.1,,,
Costa Rica,2012,0.1,,,
El Salvador,2012,0.4,,,
El Salvador,2012,,,,
El Salvador,2012,0.4,,,
United States of America,2012,0.6,,,
United States of America,2012,0.4,,,
Colombia,2012,0.1,,,
Ecuador,2012,0.1,,,
Ecuador,2012,0.5,,,
Ecuador,2012,0.1,,,
Kazakhstan,2012,0.6,,,
Moldova (Republic of),2012,0.1,,,
Moldova (Republic of),2012,0.2,,,
Belgium,2012,0.2,,,
Cyprus,2012,0.1,,,
England,2012,0.9,,,
England,2012,0.5,,,
England,2012,0.5,,,
Germany,2012,0,,,
Italy,2012,0.3,,,
Poland,2012,,,,
Poland,2012,,,,
Spain,2012,0.7,,,
Spain,2012,0.7,,,
South Africa,2011,,,,
Mexico,2011,0,,,
Mexico,2011,0,,,
Mexico,2011,0,,,
Mexico,2011,0,,,
United States of America,2011,0.8,,,
Argentina,2011,,,,
Chile,2011,1.4,,,
Colombia,2011,0.4,,,
Uruguay,2011,,,,
Uruguay,2011,,,,
Uruguay,2011,,,,
Uruguay,2011,,,,
"China, Hong Kong SAR",2011,0.01,,,
"China, Hong Kong SAR",2011,0.01,,,
Indonesia,2011,0.2,,,
Indonesia,2011,0.1,,,
Russian Federation,2011,,,,
Ukraine,2011,,,,
Bosnia and Herzegovina,2011,,,,
Bulgaria,2011,,,,
Montenegro,2011,,,,
Romania,2011,,,,
Serbia,2011,,,,
Belgium,2011,0.2,,,
Cyprus,2011,,,,
Cyprus,2011,,,,
Czechia,2011,0.7,,,
England,2011,0.8,,,
Estonia,2011,,,,
Finland,2011,,,,
Finland,2011,,,,
France,2011,0.6,,,
Germany,2011,,,,
Greece,2011,,,,
Ireland,2011,,,,
Latvia,2011,,,,
Liechtenstein,2011,,,,
Liechtenstein,2011,,,,
Lithuania,2011,,,,
Malta,2011,,,,
Netherlands,2011,,,,
Portugal,2011,,,,
Slovenia,2011,,,,
South Africa,2011/12,,,,
Canada,2012/13,,,,
Canada,2012/13,2.7,,,
Canada,2012/13,2.9,,,
Belgium,2012/13,0.3,,,
Canada,2014/15,3.1,,,
Canada,2014/15,0.6,,,
Canada,2014/15,2.9,,,
