Country,Year,Number,Definition,Interpretation,Link
Namibia,2015,0.4,n/a,n/a,https://data.unodc.org/#state:23
Costa Rica,2015,2.78,,,
Honduras,2015,4.2,,,
Chile,2015,9.97,,,
Chile,2015,9.97,,,
Georgia,2015,,,,
Indonesia,2015,0.11,,,
Indonesia,2015,0.15,,,
Indonesia,2015,0,,,
Moldova (Republic of),2015,,,,
Ukraine,2015,0,,,
Ukraine,2015,,,,
Albania,2015,,,,
Bulgaria,2015,,,,
Croatia,2015,,,,
Macedonia (TFYR),2015,,,,
Montenegro,2015,,,,
Montenegro,2015,,,,
Romania,2015,,,,
Romania,2015,,,,
Austria,2015,,,,
Belgium,2015,,,,
Cyprus,2015,,,,
Czechia,2015,,,,
Denmark,2015,,,,
Estonia,2015,,,,
Faeroe Islands,2015,,,,
Finland,2015,,,,
France,2015,,,,
Greece,2015,,,,
Greece,2015,,,,
Hungary,2015,,,,
Iceland,2015,,,,
Ireland,2015,,,,
Italy,2015,7.2,,,
Italy,2015,0.7,,,
Latvia,2015,,,,
Latvia,2015,,,,
Liechtenstein,2015,,,,
Liechtenstein,2015,,,,
Lithuania,2015,,,,
Lithuania,2015,,,,
Malta,2015,,,,
Monaco,2015,,,,
Netherlands,2015,,,,
Norway,2015,,,,
Poland,2015,,,,
Portugal,2015,,,,
Portugal,2015,,,,
Slovakia,2015,,,,
Slovakia,2015,,,,
Slovenia,2015,,,,
Sweden,2015,1.8,,,
Sweden,2015,2.7,,,
Haiti,2014,6.46,,,
Honduras,2014,6,,,
Mexico,2014,2.6,,,
Argentina,2014,2.9,,,
Paraguay,2014,3.6,,,
Uruguay,2014,3,,,
Venezuela (Bolivarian Republic of),2014,2.7,,,
Ukraine,2014,0.1,,,
England,2014,0.4,,,
France,2014,,,,
Germany,2014,,,,
Spain,2014,0.7,,,
Spain,2014,5.3,,,
Sweden,2014,2.4,,,
Sweden,2014,3.5,,,
Sweden,2014,,,,
Sweden,2014,,,,
Switzerland,2014,,,,
Switzerland,2014,,,,
Morocco,2013,3.7,,,
Antigua and Barbuda,2013,1.96,,,
Barbados,2013,1.92,,,
Grenada,2013,3.01,,,
Jamaica,2013,1.74,,,
Saint Kitts and Nevis,2013,2.57,,,
Saint Lucia,2013,3.09,,,
Saint Vincent and the Grenadines,2013,1.09,,,
Trinidad and Tobago,2013,1.52,,,
Belize,2013,2.72,,,
Panama,2013,1.1,,,
Bolivia (Plurinational State of),2013,,,,
Chile,2013,9.96,,,
Guyana,2013,1.43,,,
Ukraine,2013,0.35,,,
Bulgaria,2013,9,,,
Bulgaria,2013,7.1,,,
Bulgaria,2013,4.1,,,
England,2013,0.6,,,
Estonia,2013,,,,
Estonia,2013,,,,
Finland,2013,,,,
Italy,2013,1.35,,,
Poland,2013,11,,,
Poland,2013,0.7,,,
United Kingdom (Scotland),2013,1,,,
Costa Rica,2012,2.4,,,
Costa Rica,2012,3.19,,,
El Salvador,2012,2.1,,,
El Salvador,2012,2.1,,,
United States of America,2012,4.3,,,
Colombia,2012,1.43,,,
Ecuador,2012,3.5,,,
Peru,2012,2.3,,,
Kazakhstan,2012,,,,
Kazakhstan,2012,,,,
Kazakhstan,2012,,,,
Cyprus,2012,1.2,,,
England,2012,0.6,,,
Germany,2012,,,,
Greece,2012,,,,
Italy,2012,1.05,,,
Poland,2012,,,,
Poland,2012,,,,
Spain,2012,5.8,,,
Spain,2012,1,,,
South Africa,2011,,,,
Bahamas,2011,1.98,,,
Dominica,2011,2.84,,,
Mexico,2011,0.1,,,
Mexico,2011,,,,
United States of America,2011,4.5,,,
United States of America,2011,0.6,,,
Argentina,2011,2.7,,,
Argentina,2011,,,,
Chile,2011,7.62,,,
Colombia,2011,0.78,,,
Uruguay,2011,3.8,,,
Venezuela (Bolivarian Republic of),2011,,,,
"China, Hong Kong SAR",2011,0.01,,,
"China, Hong Kong SAR",2011,0.01,,,
Indonesia,2011,0.09,,,
Indonesia,2011,0.34,,,
Moldova (Republic of),2011,,,,
Russian Federation,2011,,,,
Bosnia and Herzegovina,2011,,,,
Bulgaria,2011,,,,
Montenegro,2011,,,,
Romania,2011,,,,
Romania,2011,,,,
Serbia,2011,,,,
Turkey,2011,0.8,,,
Cyprus,2011,,,,
Czechia,2011,,,,
England,2011,1.1,,,
Estonia,2011,,,,
Finland,2011,,,,
Iceland,2011,,,,
Ireland,2011,,,,
Latvia,2011,,,,
Latvia,2011,,,,
Liechtenstein,2011,,,,
Lithuania,2011,,,,
Malta,2011,,,,
Norway,2011,,,,
Portugal,2011,,,,
Slovenia,2011,,,,
Slovenia,2011,,,,
South Africa,2011/12,,,,
Canada,2012/13,1.3,,,
Canada,2012/13,3.8,,,
Belgium,2012/13,0.4,,,
Canada,2014/15,2.12,,,
